taxonomic_order,species,PRIMARY_COM_NAME,genus,family,add.to,do.not.break,notes,needs.statement
199,Tinamotis_ingoufi,Patagonian Tinamou,Tinamotis,Tinamidae (Tinamous),,,,
202,Casuarius_casuarius,Southern Cassowary,Casuarius,Casuariidae (Cassowaries and Emu),,,,
203,Casuarius_bennetti,Dwarf Cassowary,Casuarius,Casuariidae (Cassowaries and Emu),,,,
204,Casuarius_unappendiculatus,Northern Cassowary,Casuarius,Casuariidae (Cassowaries and Emu),Casuarius_bennetti,,"according to Naish, D., and R. Perron (2014). Structure and function of the Cassowary's casque and its implications for Cassowary History, Biology and evolution. Historical Biology 28(4):507–518 as cited in BOW, Southern is sister to Dwarf+Northern",yes
205,Dromaius_novaehollandiae,Emu,Dromaius,Casuariidae (Cassowaries and Emu),,,,
211,Apteryx_australis,Southern Brown Kiwi,Apteryx,Apterygidae (Kiwis),,,,
214,Apteryx_rowi,Okarito Brown Kiwi,Apteryx,Apterygidae (Kiwis),,,,
215,Apteryx_mantelli,North Island Brown Kiwi,Apteryx,Apterygidae (Kiwis),,,,
216,Apteryx_owenii,Little Spotted Kiwi,Apteryx,Apterygidae (Kiwis),,,,
217,Apteryx_haastii,Great Spotted Kiwi,Apteryx,Apterygidae (Kiwis),,,,
220,Anhima_cornuta,Horned Screamer,Anhima,Anhimidae (Screamers),,,,
221,Chauna_torquata,Southern Screamer,Chauna,Anhimidae (Screamers),,,,
222,Chauna_chavaria,Northern Screamer,Chauna,Anhimidae (Screamers),Chauna,,,yes
224,Anseranas_semipalmata,Magpie Goose,Anseranas,Anseranatidae (Magpie Goose),,,,
226,Dendrocygna_guttata,Spotted Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
227,Dendrocygna_eytoni,Plumed Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
228,Dendrocygna_viduata,White-faced Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
230,Dendrocygna_autumnalis,Black-bellied Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
233,Dendrocygna_arborea,West Indian Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
235,Dendrocygna_bicolor,Fulvous Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
238,Dendrocygna_arcuata,Wandering Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
243,Dendrocygna_javanica,Lesser Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
247,Thalassornis_leuconotus,White-backed Duck,Thalassornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
250,Anser_indicus,Bar-headed Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
251,Anser_canagicus,Emperor Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
252,Anser_caerulescens,Snow Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
256,Anser_rossii,Ross's Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
259,Anser_anser,Graylag Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
264,Anser_cygnoides,Swan Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
267,Anser_albifrons,Greater White-fronted Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
278,Anser_erythropus,Lesser White-fronted Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
280,Anser_fabalis,Taiga Bean-Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
284,Anser_serrirostris,Tundra Bean-Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
288,Anser_brachyrhynchus,Pink-footed Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
291,Branta_bernicla,Brant,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
299,Branta_leucopsis,Barnacle Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
308,Branta_hutchinsii,Cackling Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
319,Branta_canadensis,Canada Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
341,Branta_sandvicensis,Hawaiian Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
342,Branta_ruficollis,Red-breasted Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
348,Cereopsis_novaehollandiae,Cape Barren Goose,Cereopsis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
351,Stictonetta_naevosa,Freckled Duck,Stictonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
352,Cyanochen_cyanoptera,Blue-winged Goose,Cyanochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
353,Cygnus_olor,Mute Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
355,Cygnus_atratus,Black Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
357,Cygnus_melancoryphus,Black-necked Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
358,Cygnus_buccinator,Trumpeter Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
360,Cygnus_columbianus,Tundra Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
366,Cygnus_cygnus,Whooper Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
371,Coscoroba_coscoroba,Coscoroba Swan,Coscoroba,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
372,Sarkidiornis_melanotos,Knob-billed Duck,Sarkidiornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
373,Sarkidiornis_sylvicola,Comb Duck,Sarkidiornis,"Anatidae (Ducks, Geese, and Waterfowl)",Sarkidiornis,,,yes
374,Pteronetta_hartlaubii,Hartlaub's Duck,Pteronetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
375,Oressochen_jubatus,Orinoco Goose,Oressochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
376,Oressochen_melanopterus,Andean Goose,Oressochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
377,Chloephaga_picta,Upland Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
382,Chloephaga_hybrida,Kelp Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga,,,yes
385,Chloephaga_poliocephala,Ashy-headed Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
386,Chloephaga_rubidiceps,Ruddy-headed Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga,,,yes
388,Radjah_radjah,Radjah Shelduck,Radjah,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
391,Alopochen_aegyptiaca,Egyptian Goose,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
392,Alopochen_mauritiana,Mauritius Shelduck,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)","Alopochen; Alopochen_mauritiana, Alopochen_kervazoi",,,yes
393,Alopochen_kervazoi,Reunion Shelduck,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)","Alopochen; Alopochen_mauritiana, Alopochen_kervazoi",,,yes
394,Tadorna_ferruginea,Ruddy Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
396,Tadorna_cana,South African Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
397,Tadorna_tadornoides,Australian Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
398,Tadorna_variegata,Paradise Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
399,Tadorna_tadorna,Common Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
401,Tadorna_cristata,Crested Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_tadornoides, Tadorna_variegata, Tadorna_cristata",,One phylogenetic analysis found present species to be sister to a clade comprising T. tadornoides and T. variegata,yes
402,Plectropterus_gambensis,Spur-winged Goose,Plectropterus,"Anatidae (Ducks, Geese, and Waterfowl)","Radjah_radjah, Alopochen_aegyptiaca, Alopochen_mauritiana, Alopochen_kervazoi, Tadorna_ferruginea, Tadorna_cana, Tadorna_tadornoides, Tadorna_variegata, Tadorna_tadorna, Tadorna_cristata, Plectropterus_gambensis","Radjah_radjah, Alopochen_aegyptiaca, Alopochen_mauritiana, Alopochen_kervazoi, Tadorna_ferruginea, Tadorna_cana, Tadorna_tadornoides, Tadorna_variegata, Tadorna_tadorna, Tadorna_cristata","Some authors have proposed that present species be placed in a tribe (Plectropterini), or even in a subfamily (Plectropterinae), of its own. ETM: adding to taxa above it in linear sequence without breaking monophyly of any of those genera. MJI: add as sister to Tadorna + Allopochen",yes
405,Tachyeres_patachonicus,Flying Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
406,Tachyeres_pteneres,Flightless Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
408,Tachyeres_brachypterus,Falkland Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
409,Tachyeres_leucocephalus,White-headed Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
411,Lophonetta_specularioides,Crested Duck,Lophonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
414,Speculanas_specularis,Spectacled Duck,Speculanas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
415,Cairina_moschata,Muscovy Duck,Cairina,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
417,Nettapus_pulchellus,Green Pygmy-Goose,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
418,Nettapus_coromandelianus,Cotton Pygmy-Goose,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
421,Nettapus_auritus,African Pygmy-Goose,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus,,,yes
422,Callonetta_leucophrys,Ringed Teal,Callonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
423,Aix_sponsa,Wood Duck,Aix,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
425,Aix_galericulata,Mandarin Duck,Aix,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
427,Chenonetta_jubata,Maned Duck,Chenonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
428,Chenonetta_finschi,Finsch's Duck,Chenonetta,"Anatidae (Ducks, Geese, and Waterfowl)",Chenonetta,,,yes
429,Amazonetta_brasiliensis,Brazilian Teal,Amazonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
432,Hymenolaimus_malacorhynchos,Blue Duck,Hymenolaimus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
435,Merganetta_armata,Torrent Duck,Merganetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
442,Salvadorina_waigiuensis,Salvadori's Teal,Salvadorina,"Anatidae (Ducks, Geese, and Waterfowl)","Hymenolaimus_malacorhynchos, Merganetta_armata, Salvadorina_waigiuensis, Sibirionetta_formosa, Spatula_querquedula, Spatula_hottentota, Spatula_versicolor, Spatula_puna, Spatula_discors, Spatula_cyanoptera, Spatula_platalea, Spatula_smithii, Spatula_rhynchotis, Spatula_clypeata, Mareca_strepera, Mareca_falcata, Mareca_penelope, Mareca_americana, Mareca_sibilatrix, Mareca_marecula, Anas_sparsa, Anas_undulata, Anas_melleri, Anas_superciliosa, Anas_laysanensis, Anas_wyvilliana, Anas_luzonica, Anas_poecilorhyncha, Anas_zonorhyncha, Anas_platyrhynchos, Anas_diazi, Anas_rubripes, Anas_fulvigula, Anas_capensis, Anas_bahamensis, Anas_erythrorhyncha, Anas_acuta, Anas_eatoni, Anas_georgica, Anas_crecca, Anas_andium, Anas_flavirostris, Anas_theodori, Anas_albogularis, Anas_gibberifrons, Anas_gracilis, Anas_castanea, Anas_bernieri, Anas_aucklandica, Anas_nesiotis, Anas_chlorotis",Aix; Alopochen; Amazonetta; Anas; Anser; Asarcornis; Aythya; Biziura; Branta; Bucephala; Cairina; Callonetta; Camptorhynchus; Cereopsis; Chenonetta; Chloephaga; Clangula; Coscoroba; Cyanochen; Cygnus; Dendrocygna; Heteronetta; Histrionicus; Hymenolaimus; Lophodytes; Lophonetta; Malacorhynchus; Mareca; Marmaronetta; Melanitta; Merganetta; Mergellus; Mergus; Netta; Nettapus; Nomonyx; Oressochen; Oxyura; Plectropterus; Polysticta; Pteronetta; Radjah; Rhodonessa; Salvadorina; Sarkidiornis; Sibirionetta; Somateria; Spatula; Speculanas; Stictonetta; Tachyeres; Tadorna; Thalassornis,"Often placed in genus Anas. Shares several characters with Hymenolaimus and Merganetta, but this possibly due to convergent evolution. ETM: add to Hymenolaiumus through Anas without rendering any genera paraphyletic",yes
443,Sibirionetta_formosa,Baikal Teal,Sibirionetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
444,Spatula_querquedula,Garganey,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
445,Spatula_hottentota,Blue-billed Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
446,Spatula_versicolor,Silver Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
449,Spatula_puna,Puna Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
450,Spatula_discors,Blue-winged Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
451,Spatula_cyanoptera,Cinnamon Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
459,Spatula_platalea,Red Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
460,Spatula_smithii,Cape Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
461,Spatula_rhynchotis,Australasian Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
464,Spatula_clypeata,Northern Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
468,Mareca_strepera,Gadwall,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
472,Mareca_falcata,Falcated Duck,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
475,Mareca_penelope,Eurasian Wigeon,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
477,Mareca_americana,American Wigeon,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
484,Mareca_sibilatrix,Chiloe Wigeon,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
486,Mareca_marecula,Amsterdam Duck,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca,,,yes
487,Anas_sparsa,African Black Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
490,Anas_undulata,Yellow-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
493,Anas_melleri,Meller's Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
494,Anas_superciliosa,Pacific Black Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
497,Anas_laysanensis,Laysan Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
498,Anas_wyvilliana,Hawaiian Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)","Anas_platyrhynchos, Anas_diazi, Anas_rubripes, Anas_fulvigula",,"Based on phylogenetic analysis of morphology (Livezey 1991) and genetics (mitochondrial DNA; Rhymer 2001), closely related to Mallard and close allies of sexually monochromatic species in North America, Mottled Duck (A. fulvigula), Mexican Duck (A. platyrhynchos diazi), and American Black Duck (A. rubripes). Laysan Duck more distantly related and represents separate invasion to Hawaiian Is. from Asian stock (Fleischer and McIntosh 2001, Rhymer 2001).",yes
499,Anas_luzonica,Philippine Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
500,Anas_poecilorhyncha,Indian Spot-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
503,Anas_zonorhyncha,Eastern Spot-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
505,Anas_platyrhynchos,Mallard,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
524,Anas_diazi,Mexican Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
527,Anas_rubripes,American Black Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
531,Anas_fulvigula,Mottled Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
540,Anas_capensis,Cape Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
541,Anas_bahamensis,White-cheeked Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
547,Anas_erythrorhyncha,Red-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
548,Anas_acuta,Northern Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
555,Anas_eatoni,Eaton's Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)","Anas_acuta, Anas_eatoni, Anas_georgica",,With A. acuta and A. georgica sometimes placed in genus Dafila.,yes
558,Anas_georgica,Yellow-billed Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
563,Anas_crecca,Green-winged Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
577,Anas_andium,Andean Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
580,Anas_flavirostris,Yellow-billed Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
585,Anas_theodori,Mauritius Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)","Anas_theodori, Anas_bernieri",,"Sometimes placed in subgenus Nettion within the A. gibberifrons species-group. Closest living relative formerly reckoned to be A. melleri, but now thought to be A. bernieri. ",yes
586,Anas_albogularis,Andaman Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)","Anas_albogularis, Anas_gibberifrons, Anas_gracilis",,Sometimes placed in genus Nettion. Usually treated (along with A. gracilis) as conspecific with A. gibberifrons,yes
587,Anas_gibberifrons,Sunda Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
588,Anas_gracilis,Gray Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
592,Anas_castanea,Chestnut Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
598,Anas_bernieri,Bernier's Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
599,Anas_aucklandica,Auckland Islands Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
600,Anas_nesiotis,Campbell Islands Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
601,Anas_chlorotis,Brown Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
606,Malacorhynchus_membranaceus,Pink-eared Duck,Malacorhynchus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
607,Marmaronetta_angustirostris,Marbled Teal,Marmaronetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
608,Rhodonessa_caryophyllacea,Pink-headed Duck,Rhodonessa,"Anatidae (Ducks, Geese, and Waterfowl)","Asarcornis_scutulata, Netta_rufina, Netta_erythrophthalma, Netta_peposaca, Aythya_valisineria, Aythya_americana, Aythya_ferina, Aythya_collaris, Aythya_nyroca, Aythya_innotata, Aythya_baeri, Aythya_australis, Aythya_fuligula, Aythya_novaeseelandiae, Aythya_marila, Aythya_affinis",Asarcornis; Netta; Aythya,"More recently, DNA sequence data from a museum specimen enabled an assessment of its taxonomic relationships based on genetic data (15). This study found Pink-headed Duck was part of the Aythyini tribe, where it was apparently sister to both Netta and Aythya; it appears that White-winged Duck (Asarcornis scutulata) and Marbled Teal (Marmaronetta angustirostris) are sister to this large clade. Within the Aythini, Rhodonessa diverged from the pochards (Netta and Aythya) approximately 2.8 million years ago; this level of divergence supports retaining the genus Rhodonessa as monotypic (15).",yes
609,Asarcornis_scutulata,White-winged Duck,Asarcornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
610,Netta_rufina,Red-crested Pochard,Netta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
612,Netta_erythrophthalma,Southern Pochard,Netta,"Anatidae (Ducks, Geese, and Waterfowl)",Netta,Netta,Sometimes placed in genus Metopiana or in monospecific Phaeoaythia; apparently not closely linked to other members of Netta.,yes
615,Netta_peposaca,Rosy-billed Pochard,Netta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
616,Aythya_valisineria,Canvasback,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
617,Aythya_americana,Redhead,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
620,Aythya_ferina,Common Pochard,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
623,Aythya_collaris,Ring-necked Duck,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
627,Aythya_nyroca,Ferruginous Duck,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
630,Aythya_innotata,Madagascar Pochard,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)","Aythya_nyroca, Aythya_innotata, Aythya_baeri, Aythya_australis",,"Generally considered to be closest to A. australis, A. baeri and A. nyroca",yes
631,Aythya_baeri,Baer's Pochard,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)","Aythya_nyroca, Aythya_innotata, Aythya_baeri, Aythya_australis",,,yes
634,Aythya_australis,Hardhead,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
636,Aythya_fuligula,Tufted Duck,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
642,Aythya_novaeseelandiae,New Zealand Scaup,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)","Aythya_collaris, Aythya_fuligula, Aythya_novaeseelandiae",,Generally considered to be closest to A. collaris and A. fuligula,yes
643,Aythya_marila,Greater Scaup,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
649,Aythya_affinis,Lesser Scaup,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
659,Polysticta_stelleri,Steller's Eider,Polysticta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,
