name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
? cupreus	|	388833	|		|		|	gbif:7340615	|	
? curvirostris	|	1041420	|		|		|	gbif:2496397	|	
? cuvierii	|	62609	|		|		|	gbif:2476178	|	
? cyanea	|	6566	|		|		|	gbif:7342077	|	
? cyaneoviridis	|	621800	|		|		|	gbif:5230758	|	
? cylindricus	|	3600737	|		|		|	gbif:5228447	|	
? davidi	|	1072427	|		|		|	gbif:7515214	|	
? decipiens	|	3598023	|		|		|	gbif:6101017	|	
? dentata	|	749634	|		|		|	gbif:6100967	|	
? dentirostris	|	776465	|		|		|	gbif:2494792	|	
? diana	|	35354	|		|		|	gbif:5845282	|	
? diardi	|	3602884	|		|		|	gbif:2496381	|	
? dimidiata	|	1066121	|		|		|	gbif:2485357	|	
? diops	|	3596384	|		|		|	gbif:2475692	|	
? diphone	|	1076190	|		|		|	gbif:8351644	|	
? dispar	|	883558	|		|		|	gbif:2486790	|	
? dohertyi	|	1018617	|		|		|	gbif:6100887	|	
? dohrnii	|	3600573	|		|		|	gbif:2476890	|	
? dominica	|	618690	|		|		|	gbif:7341800	|	
? dominicensis	|	3597390	|		|		|	gbif:6092767	|	
? douglasii	|	340885	|		|		|	gbif:5228068	|	
? dumasi	|	4947565	|		|		|	gbif:6100885	|	
? egregia	|	3599896	|		|		|	gbif:5228155	|	
? elisae	|	3598138	|		|		|	gbif:6100857	|	
? ellisiana	|	3597369	|		|		|	gbif:7982313	|	
? enigma	|	3596392	|		|		|	gbif:2475698	|	
? episcopus	|	817632	|		|		|	gbif:2488602	|	
? erythrocephalum	|	219388	|		|		|	gbif:6101120	|	
? erythrochlamys	|	3597549	|		|		|	gbif:6088985	|	
? erythronota	|	520367	|		|		|	gbif:6100872	|	
? erythroptera	|	538006	|		|		|	gbif:2495238	|	
? estherae	|	455544	|		|		|	gbif:7993210	|	
? everetti	|	3600755	|		|		|	gbif:2475904	|	
? everetti	|	828006	|		|		|	gbif:2484654	|	
? excellens	|	3600510	|		|		|	gbif:2476130	|	
? falcipennis	|	55929	|		|		|	gbif:2473507	|	
? femoralis	|	981204	|		|		|	gbif:6100937	|	
? ferrugineus	|	89237	|		|		|	gbif:7574554	|	
? ferruginosa	|	865473	|		|		|	gbif:2493605	|	
? finschii	|	989085	|		|		|	gbif:2479260	|	
? fischeri	|	793165	|		|		|	gbif:5845379	|	
? fistulator	|	3600738	|		|		|	gbif:5228443	|	
? flava	|	324558	|		|		|	gbif:8021975	|	
? flaveola	|	179650	|		|		|	gbif:2483845	|	
? flavicapilla	|	3598413	|		|		|	gbif:2487705	|	
? flavicollis	|	859167	|		|		|	gbif:7340389	|	
? flavicollis	|	3598437	|		|		|	gbif:6100831	|	
? flavirostra	|	3599921	|		|		|	gbif:2474736	|	
? flaviventris	|	903271	|		|		|	gbif:6100997	|	
? flavolivaceus	|	355464	|		|		|	gbif:8104008	|	
? flavus	|	698643	|		|		|	gbif:2484431	|	
? forsteri	|	887696	|		|		|	gbif:2481161	|	
? francicus	|	534816	|		|		|	gbif:2477205	|	
? fraseri	|	1082354	|		|		|	gbif:5789037	|	
? frontalis	|	3599167	|		|		|	gbif:2483194	|	
? fucata	|	537126	|		|		|	gbif:4352334	|	
? fuliginosa	|	3597799	|		|		|	gbif:6094946	|	
? fuliginosus	|	738747	|		|		|	gbif:2478987	|	
? fuliginosus	|	1566	|		|		|	gbif:6544559	|	
? fulvicauda	|	357657	|		|		|	gbif:7341658	|	
? fulvifrons	|	1052197	|		|		|	gbif:6100932	|	
? fulviventris	|	82228	|		|		|	gbif:5788655	|	
? furcata	|	603908	|		|		|	gbif:2482009	|	
? fusca	|	583605	|		|		|	gbif:2476193	|	
? fusca	|	434289	|		|		|	gbif:6100845	|	
? fuscata	|	3597499	|		|		|	gbif:6095082	|	
? fuscus	|	250897	|		|		|	gbif:2479912	|	
? gabar	|	919193	|		|		|	gbif:5788495	|	
? gairdnerii	|	873958	|		|		|	gbif:2477787	|	
? galerita	|	290349	|		|		|	gbif:2479888	|	
? geelvinkiana	|	3600420	|		|		|	gbif:2479257	|	
? geoffroyi	|	90200	|		|		|	gbif:2476199	|	
? giganteus	|	5342861	|		|		|	gbif:2482091	|	
? glacialis	|	873958	|		|		|	gbif:2477787	|	
? glaucinus	|	102468	|		|		|	gbif:5789044	|	
? goffini	|	619331	|		|		|	gbif:2479886	|	
? gongonensis	|	3597494	|		|		|	gbif:5231208	|	
? goslingi	|	5267033	|		|		|	gbif:7509327	|	
? gouldiae	|	465909	|		|		|	gbif:5789080	|	
? grayi	|	156651	|		|		|	gbif:7340910	|	
? griseus	|	3599095	|		|		|	gbif:6089514	|	
? groenvoldi	|	1021956	|		|		|	gbif:5229240	|	
? guarayanus	|	932495	|		|		|	gbif:6089532	|	
? guarouba	|	416104	|		|		|	gbif:2480064	|	
? guatimozinus	|	3597169	|		|		|	gbif:2484235	|	
? gucenense	|	202842	|		|		|	gbif:6101126	|	
? gurneyi	|	1008493	|		|		|	gbif:6100889	|	
? guttata	|	1018619	|		|		|	gbif:6100877	|	
? guttula	|	355983	|		|		|	gbif:6095091	|	
? gutturalis	|	956238	|		|		|	gbif:6093769	|	
? haemacephala	|	738739	|		|		|	gbif:2478661	|	
? haematuropygia	|	579823	|		|		|	gbif:2479882	|	
? heliodor	|	3600528	|		|		|	gbif:5228575	|	
? helleri	|	54204	|		|		|	gbif:5789050	|	
? heraldica	|	285635	|		|		|	gbif:2481486	|	
? histrionica	|	3596604	|		|		|	gbif:2495196	|	
? hodgsoni	|	909199	|		|		|	gbif:2492480	|	
? hudsonia	|	669569	|		|		|	gbif:5229487	|	
? humilis	|	901454	|		|		|	gbif:6066181	|	
? hylonomus	|	701708	|		|		|	gbif:2477828	|	
? hyperythrus	|	704539	|		|		|	gbif:2478146	|	
? ibis	|	464693	|		|		|	gbif:2481936	|	
? ichthyaetus	|	376403	|		|		|	gbif:6066180	|	
? icterocephalus	|	608729	|		|		|	gbif:2484103	|	
? icterotis	|	512911	|		|		|	gbif:2479320	|	
? iliolophus	|	176464	|		|		|	gbif:6101140	|	
? inca	|	846250	|		|		|	gbif:2495863	|	
? indica	|	3598344	|		|		|	gbif:6100817	|	
? indigoticus	|	832763	|		|		|	gbif:5789069	|	
? interpres	|	1018618	|		|		|	gbif:6100879	|	
? iris	|	3600338	|		|		|	gbif:2479453	|	
? isidorei	|	565806	|		|		|	gbif:5844687	|	
? isidori	|	238260	|		|		|	gbif:5788512	|	
? jacobinus	|	933122	|		|		|	gbif:2496468	|	
? joiceyi	|	4947557	|		|		|	gbif:6100871	|	
? jugularis	|	286089	|		|		|	gbif:7340578	|	
? kakamegae	|	3598358	|		|		|	gbif:6100810	|	
? kashmirensis	|	1094734	|		|		|	gbif:7945857	|	
? keiensis	|	921343	|		|		|	gbif:2479239	|	
? kelleyi	|	3598438	|		|		|	gbif:6100834	|	
? kirtlandii	|	34665	|		|		|	gbif:6093362	|	
? lachrymosus	|	335230	|		|		|	gbif:6092627	|	
? lazuli	|	3596385	|		|		|	gbif:2475717	|	
? leadbeateri	|	209184	|		|		|	gbif:2479878	|	
? leconteii	|	292635	|		|		|	gbif:2491080	|	
? leucoblephara	|	292918	|		|		|	gbif:8158524	|	
? leucocephala	|	848605	|		|		|	gbif:2481938	|	
? leucocephalus	|	33126	|		|		|	gbif:2492482	|	
? leucolaema	|	4947555	|		|		|	gbif:6100886	|	
? leucophaea	|	884906	|		|		|	gbif:2494108	|	
? leucophaeus	|	3595837	|		|		|	gbif:2477244	|	
? leucophrys	|	7068707	|		|		|	gbif:2483165	|	
? leucophrys	|	237999	|		|		|	gbif:5788858	|	
? leucophthalma	|	857175	|		|		|	gbif:7341755	|	
? leucopogon	|	759573	|		|		|	gbif:7340639	|	
? leucopogon	|	234410	|		|		|	gbif:7341082	|	
? leucopygius	|	3596387	|		|		|	gbif:2475719	|	
? leucorrhous	|	1034649	|		|		|	gbif:6066303	|	
? leucospila	|	3599903	|		|		|	gbif:2474479	|	
? leucotis	|	699784	|		|		|	gbif:5228571	|	
? leucura	|	35350	|		|		|	gbif:5845285	|	
? leucurus	|	873958	|		|		|	gbif:2477787	|	
? levaillantii	|	55582	|		|		|	gbif:5227820	|	
? levaillantii	|	3596359	|		|		|	gbif:2496465	|	
? levalliantoides	|	55587	|		|		|	gbif:5227888	|	
? lewis	|	90564	|		|		|	gbif:2478142	|	
? lineatum	|	202820	|		|		|	gbif:6101138	|	
? lobatus	|	3597989	|		|		|	gbif:5789092	|	
? lotenius	|	3597645	|		|		|	gbif:7340540	|	
? lucidus	|	3600657	|		|		|	gbif:6066527	|	
? luteoventris	|	337760	|		|		|	gbif:7401878	|	
? luteoviridis	|	1034069	|		|		|	gbif:7341680	|	
? macgillivrayi	|	212085	|		|		|	gbif:2481503	|	
? macrodactylus	|	960235	|		|		|	gbif:2475093	|	
? maculata	|	3597365	|		|		|	gbif:2494579	|	
? madagascariensis	|	959901	|		|		|	gbif:7340892	|	
? magellanicus	|	38571	|		|		|	gbif:7341745	|	
? magnolia	|	532751	|		|		|	gbif:6093209	|	
? major	|	1082155	|		|		|	gbif:5788901	|	
? major	|	337758	|		|		|	gbif:7590291	|	
? malabarica	|	844094	|		|		|	gbif:7341580	|	
? malabarica	|	596766	|		|		|	gbif:5789082	|	
? manadensis	|	981970	|		|		|	gbif:6095016	|	
? mandelli	|	987317	|		|		|	gbif:7368163	|	
? maracana	|	215187	|		|		|	gbif:2479270	|	
? maritimus	|	1002241	|		|		|	gbif:2491095	|	
? marmoratus	|	280902	|		|		|	gbif:5229281	|	
? maximiliani	|	300971	|		|		|	gbif:2479907	|	
? mccownii	|	948132	|		|		|	gbif:6093927	|	
? media	|	35044	|		|		|	gbif:5789033	|	
? medianus	|	873958	|		|		|	gbif:2477787	|	
? melanoleucus	|	3597871	|		|		|	gbif:5789240	|	
? melanolophus	|	3596771	|		|		|	gbif:2480841	|	
? melanolophus	|	746130	|		|		|	gbif:2487871	|	
? melanops	|	7150	|		|		|	gbif:5228216	|	
? melanotis	|	617304	|		|		|	gbif:7340723	|	
? melanura	|	434293	|		|		|	gbif:6100847	|	
? melanurus	|	556172	|		|		|	gbif:5789047	|	
? melitensis	|	3595637	|		|		|	gbif:6066334	|	
? menachensis	|	3597410	|		|		|	gbif:6100978	|	
? mendozae	|	6154250	|		|		|	gbif:7411252	|	
? mennelli	|	901362	|		|		|	gbif:6100976	|	
? menstruus	|	283087	|		|		|	gbif:2479902	|	
? meridionalis	|	1034657	|		|		|	gbif:2480655	|	
? metopias	|	954676	|		|		|	gbif:7340627	|	
? mexicanus	|	711865	|		|		|	gbif:8323485	|	
? mexicanus	|	743411	|		|		|	gbif:9476062	|	
? milanjensis	|	687881	|		|		|	gbif:7340424	|	
? minuta	|	775144	|		|		|	gbif:5845133	|	
? moluccensis	|	959831	|		|		|	gbif:2479898	|	
? monachus	|	707369	|		|		|	gbif:2480715	|	
? monguilloti	|	405215	|		|		|	gbif:6093200	|	
