id	replacement
3600746	211118
5859929	3597487
5857367	3599394
3598579	981204
5857340	67920
3599604	686165
5852499	149824
3597108	3597102
6152023	309061
5835466	684039
3597569	156645
5857093	583599
3598310	783277
3600741	159838
5857292	310952
3597251	463029
5835412	494369
3599517	202820
5857273	3599060
7068647	6138424
3599683	364718
5857092	3600569
5857298	1066121
5857417	3596437
5857091	996925
6154705	589064
3595605	726166
3600477	306220
5857159	4131238
5852569	3599835
6152028	883557
6152020	921354
5857400	3596376
5857105	873958
3597811	3597781
3595604	854633
3599306	727908
5857048	3600316
5859871	552044
3600322	619331
3596703	433993
5857239	978545
5857368	3598360
3598902	3598882
5857268	630695
3595844	65402
3596235	1060716
3598556	945657
5561051	4131498
5857291	551168
5857324	886235
5857236	3599904
6152622	160385
6153530	936541
3600474	810658
3597226	119891
5857047	3600315
6151499	458094
5560034	786435
6152021	309062
5857134	3596827
5857396	3596377
5857042	3600310
5857250	159833
5340774	5297298
5857375	294590
3597812	3597799
6373247	241848
5857225	331984
3600686	446659
5857035	224308
3599525	3598290
4131382	286091
5857343	213447
5857011	848606
3599567	464862
5857386	1034649
6520363	6520342
5857103	876388
5857218	3599937
3600448	400207
3600179	838429
3600204	534442
4947620	559262
5846377	1097187
5339354	3597567
3598214	434289
5342862	85271
4132113	682882
5857310	599074
5560060	618377
5560031	341036
5340732	83286
5560062	652591
5341179	664
5341215	5340693
5857156	3595774
5857085	944812
5857115	57827
5857074	3600675
5857064	881921
5857060	1031963
5857012	848605
5857021	145562
3598590	565816
3597563	3597549
4947574	4947555
4131816	890939
4132021	285213
3600678	9834
5852559	446477
5852522	214791
6152801	635117
5857052	299432
4131806	3598985
5560415	471653
5266817	192753
6154265	20533
5339361	3599732
5857149	3596903
4130550	742961
5857034	717629
5859970	108771
6153450	3597367
551825	144082
5835380	822331
3599825	687871
5266736	3599488
5835383	733987
5846355	4947520
4947583	520367
5339429	5326075
3598735	191562
5857057	3595582
5559047	140298
6138321	1085739
6138558	3600266
3596271	901454
3596285	376403
320508	286216
3596796	729476
3597188	85255
5835413	259139
3599656	3598344
3597400	559258
3598131	956607
6520293	6520258
5266735	3599451
3596019	157745
6520362	6520343
5857116	1078413
5560126	969841
4947679	546763
6155205	600846
3600666	480890
960217	542682
5340818	906567
5852497	3595579
3597722	3597721
6153185	781902
5857111	90564
26170	25712
4131539	423793
5266747	3599586
3598215	434293
5859867	892281
4947570	492723
3598682	809013
5560112	3596323
5860998	817143
