uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
7659121	|	7659120	|	Tantalus milneedwardsii	|	no rank	|	gbif:9091822	|		|	extinct,incertae_sedis	|	
7659116	|	363013	|	Pelargodes	|	no rank	|	gbif:9773369	|		|	extinct,incertae_sedis	|	
7659118	|	7659116	|	Pelargopsis stehlini	|	no rank	|	gbif:9649006	|		|	extinct,incertae_sedis	|	
7659119	|	7659116	|	Pelargopsis trouessarti	|	no rank	|	gbif:9721847	|		|	extinct,incertae_sedis	|	
7659117	|	7659116	|	Pelargopsis magnus	|	no rank	|	gbif:9805827	|		|	extinct,incertae_sedis	|	
4130602	|	363013	|	Melanopelargus	|	genus	|	gbif:4848440,irmng:1227794	|		|	barren	|	
3602827	|	363013	|	Palaeoephippiorhynchus	|	genus	|	gbif:4850869	|		|		|	
6151147	|	3602827	|	Palaeoephippiorhynchus dietrichi	|	species	|	gbif:8693290	|		|		|	
3602452	|	363013	|	Palaeopelargus	|	no rank	|	gbif:4851173	|		|	extinct,incertae_sedis	|	
7659115	|	3602452	|	Palaeopelargus nobilis	|	no rank	|	gbif:9702673	|		|	extinct,incertae_sedis	|	
3602574	|	363013	|	Xenorhynchopsis	|	no rank	|	gbif:4852565	|		|	extinct,incertae_sedis	|	
6155677	|	3602574	|	Xenorhynchopsis tibialis	|	no rank	|	gbif:8590533	|		|	extinct,incertae_sedis	|	
6155676	|	3602574	|	Xenorhynchopsis minor	|	no rank	|	gbif:8607236	|		|	extinct,incertae_sedis	|	
5340721	|	363013	|	Argala	|	genus	|	irmng:1385231	|		|	hidden,barren	|	
5340722	|	363013	|	Megalornis	|	genus	|	irmng:1338745	|	Megalornis (genus in infraclass Neognathae)	|	hidden,barren	|	
4130601	|	363013	|	Grallavis	|	genus	|	irmng:1134396	|		|	hidden,barren	|	
4130600	|	363013	|	Eociconia	|	genus	|	gbif:9563692,irmng:1420491	|		|		|	
6151140	|	4130600	|	Eociconia sangequanensis	|	species	|	gbif:8483138	|		|		|	
628493	|	363022	|	Thinocoridae	|	family	|	ncbi:161740,worms:225744,gbif:5287,irmng:104213	|		|		|	
427703	|	628493	|	Attagis	|	genus	|	ncbi:227232,worms:225882,gbif:2480956,irmng:1222851	|		|		|	
417274	|	427703	|	Attagis malouinus	|	species	|	ncbi:555229,worms:225907,gbif:2480957,irmng:10839695	|		|		|	
427704	|	427703	|	Attagis gayi	|	species	|	ncbi:227233,gbif:2480958,irmng:10584738	|		|		|	
7659129	|	427703	|	Attagis cheeputi	|	species	|	gbif:8975552	|		|		|	
7659130	|	427703	|	Attagis chimborazensis	|	species	|	gbif:9171419	|		|		|	
628492	|	628493	|	Thinocorus	|	genus	|	ncbi:161741,worms:225750,gbif:2480959,irmng:1294092	|		|		|	
481916	|	628492	|	Thinocorus rumicivorus	|	species	|	ncbi:391620,worms:225768,gbif:2480961,irmng:10943926	|		|		|	
628490	|	628492	|	Thinocorus orbignyianus	|	species	|	ncbi:161742,gbif:2480960,irmng:11209915	|		|		|	
6151167	|	628492	|	Thinocorus koepckae	|	species	|	gbif:8708514	|		|		|	
7659131	|	628492	|	Thinocorus peruvianus	|	species	|	gbif:8830163	|		|		|	
597796	|	363022	|	Balaenicipitidae	|	family	|	ncbi:33582,gbif:4287242,irmng:105709	|		|		|	
597797	|	597796	|	Balaeniceps	|	genus	|	ncbi:33583,gbif:2480346,irmng:1209590	|		|		|	
