TAXON_ORDER,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,ott_id,ott_name,ott_tax_sources,ott_match_type,H_M_name,H_M_match_type,Birdlife_name,Birdlife_match_type,IOC_name,IOC_match_type
112,thitin1,avibase-AAB5CEED,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),3600791,Crypturellus cinnamomeus,"ncbi:889801,gbif:2477493,irmng:10855354",canonical_match,Crypturellus cinnamomeus,concepts_match,Crypturellus cinnamomeus,concepts_match,Crypturellus cinnamomeus,concepts_match
123,rustin1,avibase-45EE168A,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),647584,Crypturellus brevirostris,"ncbi:1118536,gbif:2477532,irmng:11234105",canonical_match,Crypturellus brevirostris,concepts_match,Crypturellus brevirostris,concepts_match,Crypturellus brevirostris,concepts_match
124,bartin2,avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),3600798,Crypturellus bartletti,"gbif:2477556,irmng:11280190",canonical_match,Crypturellus bartletti,concepts_match,Crypturellus bartletti,concepts_match,Crypturellus bartletti,concepts_match
125,smbtin1,avibase-2988DEC6,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),379420,Crypturellus parvirostris,"ncbi:198471,gbif:2477558,irmng:11295728",canonical_match,Crypturellus parvirostris,concepts_match,Crypturellus parvirostris,concepts_match,Crypturellus parvirostris,concepts_match
126,bartin1,avibase-26D1CE28,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),3600788,Crypturellus casiquiare,"gbif:2477570,irmng:11037730",canonical_match,Crypturellus casiquiare,concepts_match,Crypturellus casiquiare,concepts_match,Crypturellus casiquiare,concepts_match
127,tattin1,avibase-9C7F2C57,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),758347,Crypturellus tataupa,"ncbi:57238,gbif:2477522,irmng:10761827",canonical_match,Crypturellus tataupa,concepts_match,Crypturellus tataupa,concepts_match,Crypturellus tataupa,concepts_match
133,rewtin1,avibase-C141F60A,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),224379,Rhynchotus rufescens,"ncbi:30466,gbif:2477464,irmng:10199775",canonical_match,Rhynchotus rufescens,concepts_match,Rhynchotus rufescens,concepts_match,Rhynchotus rufescens,concepts_match
137,huatin1,avibase-94AF5DC7,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),3600787,Rhynchotus maculicollis,"gbif:2477462,irmng:10990144",canonical_match,Rhynchotus maculicollis,concepts_match,Rhynchotus maculicollis,concepts_match,Rhynchotus maculicollis,concepts_match
138,tactin1,avibase-368EC295,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),3600803,Nothoprocta taczanowskii,"gbif:2477596,irmng:10218990",canonical_match,Nothoprocta taczanowskii,concepts_match,Nothoprocta taczanowskii,concepts_match,Nothoprocta taczanowskii,concepts_match
139,orntin1,avibase-286A2FBA,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),332613,Nothoprocta ornata,"ncbi:83376,gbif:2477575,irmng:11309803",canonical_match,Nothoprocta ornata,concepts_match,Nothoprocta ornata,concepts_match,Nothoprocta ornata,concepts_match
